Total send and receive rate:                             0b         0b         0b
Total send and receive rate:                         18,4Mb     9,18Mb     9,18Mb
Total send and receive rate:                         20,2Mb     12,8Mb     12,8Mb
Total send and receive rate:                         20,2Mb     14,7Mb     14,7Mb
Total send and receive rate:                         20,2Mb     15,8Mb     15,8Mb
Total send and receive rate:                         20,2Mb     19,8Mb     16,5Mb
Total send and receive rate:                         19,7Mb     20,1Mb     17,0Mb
Total send and receive rate:                         20,2Mb     20,1Mb     17,4Mb
Total send and receive rate:                         20,2Mb     20,1Mb     17,7Mb
Total send and receive rate:                         20,2Mb     20,1Mb     17,9Mb
Total send and receive rate:                         20,2Mb     20,1Mb     18,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,3Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,4Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,6Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,7Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,8Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,8Mb
Total send and receive rate:                         20,2Mb     20,2Mb     18,9Mb
Total send and receive rate:                         20,2Mb     20,2Mb     19,0Mb
Total send and receive rate:                         20,2Mb     20,2Mb     19,0Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,0Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,1Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,2Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,2Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,2Mb
Total send and receive rate:                         20,2Mb     20,2Mb     20,2Mb
Total send and receive rate:                         20,6Mb     20,2Mb     20,2Mb
